Site Code,Planning Week Date Range (Mon - Sun),Mine/Mill,# PMs Scheduled,# Total Maintenance WO Completed,# Scheduled Maintenance WO,Total Hours (Actual),Total Work Order Count,Total Distinct Work Order Count
RDM,2023-03-20 - 2023-03-26,Mill,86,116,160,1681.75,401,401
RDM,2023-03-20 - 2023-03-26,Mine,30,74,71,815.00,260,260
RDM,2022-10-24 - 2022-10-30,Mill,19,152,35,2185.50,248,248
RDM,2023-03-27 - 2023-04-02,Mill,12,1,28,110.50,29,29
RDM,2022-10-10 - 2022-10-16,Mill,11,143,16,1496.50,210,210
RDM,2023-02-06 - 2023-02-12,Mill,6,185,14,2212.75,263,263
RDM,2022-10-17 - 2022-10-23,Mill,3,184,3,3569.00,228,228
RDM,2022-12-19 - 2022-12-25,Mill,3,132,7,4697.00,153,153
RDM,2023-02-20 - 2023-02-26,Mill,3,151,5,1598.00,230,230
RDM,2023-03-13 - 2023-03-19,Mill,3,146,14,1804.00,319,319
RDM,2023-03-13 - 2023-03-19,Mine,2,102,11,1305.50,274,274
RDM,2021-04-19 - 2021-04-25,Mill,1,191,1,1570.50,212,212
RDM,2021-10-11 - 2021-10-17,Mill,1,168,1,1575.00,237,237
RDM,2022-05-16 - 2022-05-22,Mill,1,256,3,2243.50,312,312
RDM,2022-07-11 - 2022-07-17,Mill,1,177,1,1695.00,216,216
RDM,2022-07-18 - 2022-07-24,Mill,1,176,2,2227.00,236,236
RDM,2022-08-01 - 2022-08-07,Mill,1,173,1,3209.00,217,217
RDM,2022-08-08 - 2022-08-14,Mill,1,109,5,1822.00,145,145
RDM,2022-09-12 - 2022-09-18,Mill,1,177,4,1773.50,209,209
RDM,2022-11-14 - 2022-11-20,Mine,1,100,3,1198.50,119,119
RDM,2022-12-05 - 2022-12-11,Mill,1,231,1,1649.50,265,265
RDM,2023-02-27 - 2023-03-05,Mill,1,226,4,3658.00,337,337
RDM,2018-01-01 - 2018-01-07,Mill,,133,,2967.00,165,165
RDM,2018-01-01 - 2018-01-07,Mine,,65,,2615.00,114,114
RDM,2018-01-08 - 2018-01-14,Mill,,102,,14022.25,136,136
