Site Code,Mine/Mill,Planning Week Date Range (Mon - Sun),Scheduled Maintenance WO Hours,Break-In Ratio (Duration),PM Schedule Compliance (By Duration),Schedule Compliance (By Duration),Schedule Compliance (By Work Order Count),Total Break-In Hours (Actual),Total Distinct Work Order Count,Total Hours (Actual),Total Hours (Scheduled),Total Non Break-In Hours (Actual),Total Non Break-In PM Hours (Actual),Total PM Hours (Scheduled),Total Work Order Count
HVC,Mill,2018-01-01 - 2018-01-07,151.00,75.88%,,100.00%,,475.00,39,626.00,151.00,151.00,,,39
HVC,Mill,2018-01-08 - 2018-01-14,930.00,58.40%,,100.00%,,1305.50,166,2235.50,930.00,930.00,,,166
HVC,Mill,2018-01-15 - 2018-01-21,830.94,60.00%,,100.00%,,1246.50,172,2077.44,830.94,830.94,,,172
HVC,Mill,2018-01-22 - 2018-01-28,898.00,61.92%,,100.00%,,1460.50,193,2358.50,898.00,898.00,,,193
HVC,Mill,2018-01-29 - 2018-02-04,1010.50,74.42%,,99.90%,,2937.00,262,3946.50,1010.50,1009.50,,,262
HVC,Mill,2018-02-05 - 2018-02-11,1098.00,70.19%,,100.00%,,2585.50,260,3683.50,1098.00,1098.00,,,260
HVC,Mill,2018-02-12 - 2018-02-18,885.00,72.21%,,100.00%,,2299.50,227,3184.50,885.00,885.00,,,227
HVC,Mill,2018-02-19 - 2018-02-25,1191.00,65.74%,100.00%,100.00%,,2285.00,290,3476.00,1191.00,1191.00,4.00,4.00,290
HVC,Mill,2018-02-26 - 2018-03-04,1225.50,68.16%,,100.00%,,2623.50,259,3849.00,1225.50,1225.50,,,259
HVC,Mill,2018-03-05 - 2018-03-11,1311.00,65.92%,,100.00%,,2536.00,310,3847.00,1311.00,1311.00,,,310
HVC,Mill,2018-03-12 - 2018-03-18,1125.50,69.68%,,100.00%,,2586.50,259,3712.00,1125.50,1125.50,,,259
HVC,Mill,2018-03-19 - 2018-03-25,1063.00,76.67%,,99.62%,,3479.50,224,4538.50,1063.00,1059.00,,,224
HVC,Mill,2018-03-26 - 2018-04-01,1085.00,76.19%,,100.00%,,3471.00,251,4556.00,1085.00,1085.00,,,251
HVC,Mill,2018-04-02 - 2018-04-08,1360.00,68.54%,,99.63%,,2952.00,374,4307.00,1360.00,1355.00,,,374
HVC,Mill,2018-04-09 - 2018-04-15,1476.50,70.21%,,100.00%,,3480.00,333,4956.50,1476.50,1476.50,,,333
