Site Code,Month-Year,Copper Tails Grade %,Copper Conc Produced,Copper Contained in Cu Conc %,Copper Conc Insol Grade %,Copper Conc Mo Grade ppm,Plant Yield - Copper (Adjusted),Total Metal - Copper (Adjusted),Total Ore (Adjusted)
CDA,18-Jan,0.05%,19614.26148,128.41%,11.23%,2273.539651,0.36%,-5573.04,NaN
CDA,18-Feb,0.06%,16856.95698,27.55%,11.09%,1838.926194,0.36%,4644.28,NaN
CDA,18-Mar,0.05%,19376.31471,27.81%,10.03%,1785.270481,0.36%,5389.37,1477377.89
CDA,18-Apr,0.06%,19160.46259,27.83%,10.69%,1636.81782,0.34%,5332.27,1573951.55
CDA,18-May,0.05%,19295.40579,27.91%,10.50%,2264.987366,0.34%,5385.58,1599150.41
CDA,18-Jun,0.05%,15627.58197,27.71%,8.98%,2674.073664,0.34%,4331.17,1267731.86
CDA,18-Jul,0.05%,18105.67963,28.62%,9.94%,2550.24845,0.33%,5181.18,1559205.13
CDA,18-Aug,0.05%,16751.00512,28.34%,12.55%,3140.083256,0.31%,4747.23,1530485.13
CDA,18-Sep,0.06%,22059.92232,326.30%,12.47%,-2365.21,0.35%,5802.58,1680590.88
CDA,18-Oct,0.05%,19699.1384,26.86%,9.49%,2552.663249,0.32%,5291.7,1634294.05
CDA,18-Nov,0.06%,24210.05188,24.60%,10.94%,2687.620147,0.38%,5955.12,1566174.21
CDA,18-Dec,0.05%,21932.66992,25.84%,13.15%,3395.564246,0.34%,5668.11,1673524
CDA,19-Jan,0.04%,14572.73059,27.01%,13.15%,3657.281954,0.34%,3935.42,1155482.06
CDA,19-Feb,0.04%,18090.51728,27.19%,10.35%,3341.037806,0.34%,4919.3,1429117.41
CDA,19-Mar,0.04%,18919.28186,26.94%,10.14%,2327.543627,0.32%,5096.07,1605102.28
CDA,19-Apr,0.04%,19379.29133,28.50%,9.21%,3506.970791,0.36%,5523.4,1535229.63
CDA,19-May,0.05%,19801.4807,128.88%,10.93%,3328.009373,0.34%,5718.94,1696901.39
CDA,19-Jun,0.05%,12021.58478,30.05%,7.05%,3467.300323,0.39%,3612.6,925312.09
CDA,19-Jul,0.04%,17605.36203,28.85%,8.77%,5162.508387,0.34%,5078.71,1495682.82
CDA,19-Aug,0.04%,20102.40633,28.87%,11.87%,-5695.437332,0.35%,5803.75,1678239.29
CDA,NaN,0.05%,18513.85828,26.90%,12.25%,3322.107968,0.35%,4980.97,1422440.06
CDA,19-Oct,0.06%,7474.369845,27.38%,11.59%,2284.220578,0.31%,2046.36,650975.85
CDA,19-Dec,0.06%,17195.18706,28.42%,10.70%,2682.093226,0.35%,4886.18,1392150.74
CDA,20-Jan,0.05%,20333.26921,29.87%,10.37%,4082.253673,0.37%,6073.76,1660243.53
CDA,20-Feb,0.05%,18280.57013,29.13%,9.09%,3214.340279,0.35%,5324.93,1501140.69
CDA,20-Mar,0.05%,18685.72539,28.63%,11.85%,2265.217667,0.33%,5350.47,1630229.94
CDA,20-Apr,0.06%,17270.17535,27.42%,7.82%,1803.519452,0.29%,4735.21,1621327.58
CDA,20-May,0.06%,18705.7752,24.94%,9.37%,3168.327689,0.29%,4665.26,1624520.42
CDA,20-Jun,0.05%,16625.56697,25.84%,8.72%,5171.596938,0.30%,4295.91,1417147.5
CDA,20-Jul,0.06%,11465.79324,25.09%,8.90%,3249.646477,0.29%,2876.74,1001201
CDA,20-Aug,0.05%,16057.90826,26.24%,9.80%,3268.532652,0.28%,4213.72,1507859.22
CDA,20-Sep,0.06%,14845.54613,27.68%,8.25%,2919.546774,0.27%,4109.42,1521896
CDA,20-Oct,0.05%,15507.16942,27.87%,8.99%,3965.677427,0.28%,4321.25,1536281.57
CDA,20-Nov,0.04%,15737.8864,29.57%,8.33%,3888.885721,0.29%,4653.37,1578310.53
CDA,20-Dec,0.04%,16940.47502,27.93%,10.48%,3903.879762,0.31%,4731.85,1543904.61
CDA,21-Jan,0.05%,16218.41594,26.74%,9.90%,3804.468859,0.28%,4322.6,1564824
CDA,21-Feb,0.05%,12506.82242,29.07%,9.34%,3152.480835,0.27%,3635.79,1367758.15
CDA,21-Mar,0.05%,13789.40194,28.32%,9.46%,3353.197505,0.27%,3905.54,1431438.91
CDA,21-Apr,0.05%,10612.19311,28.23%,10.51%,3712.644206,0.24%,2996.21,1266510.93
CDA,21-May,0.04%,12581.17206,28.95%,9.25%,4252.334997,0.25%,3642.69,1444617.93
CDA,21-Jun,0.05%,13751.10203,27.79%,10.85%,2937.932165,0.25%,3822.11,1507094.21
CDA,21-Jul,0.05%,13620.05975,27.22%,12.06%,3301.093881,0.23%,3706.9,1602126.93
CDA,21-Aug,0.04%,14257.4658,27.88%,7.98%,3420.845539,0.26%,3975.06,1535937.28
CDA,21-Sep,0.04%,12780.6746,27.62%,9.60%,3998.385905,0.23%,3530.12,1566492.81
CDA,21-Oct,0.06%,13342.61236,27.29%,10.31%,2813.148586,0.24%,3641.3,1514656
CDA,21-Nov,0.05%,14736.45878,25.10%,9.53%,3558.570431,0.23%,3699.49,1596426.78
CDA,21-Dec,0.06%,9184.842935,28.14%,6.64%,1619.397433,0.23%,2584.53,1139950.26
CDA,22-Jan,0.05%,11073.5352,26.86%,8.87%,2682.92963,0.25%,2974.41,1208496
CDA,22-Feb,0.06%,12023.89743,25.15%,10.10%,2692.394661,0.21%,3023.8,1416481
CDA,22-Mar,0.04%,14172.45551,27.14%,10.59%,4101.846028,0.24%,3846.74,1571510
CDA,22-Apr,0.05%,15516.21628,27.09%,9.15%,3076.427099,0.27%,4203.84,1552800
CDA,22-May,0.07%,11384.33042,26.36%,9.09%,1880.440367,0.21%,3000.63,1438393
CDA,22-Jun,0.05%,12590.07997,25.62%,NaN,3233.451484,0.24%,3225.82,1364768
CDA,22-Jul,0.07%,8883.57715,25.00%,9.17%,2460.83985,0.22%,2221.18,1015872
CDA,22-Aug,0.13%,12462.69558,23.14%,9.40%,1696.783562,0.22%,2883.66,1322744.1
CDA,22-Sep,0.06%,10438.83015,24.42%,10.38%,2526.046934,0.23%,2549.6,1098096
CDA,22-Oct,0.07%,14542.01163,26.58%,11.35%,2720.094693,0.26%,3865.69,1513736.21
CDA,22-Nov,0.06%,13256.45196,28.05%,8.75%,3470.712262,0.26%,3718.89,1452789.09
CDA,22-Dec,0.09%,11203.16579,27.49%,9.34%,1623.440644,0.21%,3079.59,1493370.27
CDA,23-Jan,0.06%,11390.00364,27.76%,5.88%,2684.399391,0.21%,3161.39,1492336
CDA,23-Feb,0.06%,12030.67468,24.06%,7.26%,3312.942746,0.24%,2894.74,1226608
CDA,23-Mar,0.08%,11279.76258,26.65%,6.74%,2316.832344,0.23%,3006.29,1300976
