Site Code,Month-Year,FMS Maintenance Availability (Actual),FMS Mean Down Time (Hours),FMS Mean Failure Time (Hours),FMS Mean Time Between Down (Hours),FMS Mean Time Between Failure (Hours),FMS Mean Time To Repair (Hours),FMS Mobile Availability (Actual),FMS Operating Efficiency (Actual),FMS Use of Availability (Actual),Asset Down Count,Asset Event Count,Asset Failure Count,FMS Total Active Maintenance Hours (Actual),FMS Total Available Time (Actual),FMS Total Excluded Calendar Hours (Actual),FMS Total Maintenance Delay Hours (Actual),FMS Total Maintenance Hours (Actual),FMS Total Operational Delay Hours (Actual),FMS Total Production Time (Hours) (Actual),FMS Total Standby Hours (Actual),FMS Total Utilized Time (Actual)
RDM,Sep-2020,64.83%,39.17,16.686016174402248,72.20,84.08,25.31,87.94%,88.64%,25.27%,92,107475,79,2328.39,26285.017222222217,1538.98,1275.62,3604.01,754.63,5887.48,19642.90,6642.12
RDM,Oct-2020,59.01%,46.36,21.121220400728593,66.76,79.34,29.20,84.72%,86.28%,25.97%,145,151219,122,4234.57,37279.42749999997,2689.86,2488.14,6722.72,1327.67,8352.14,27599.61,9679.81
RDM,Nov-2020,50.38%,76.53,18.81948933782267,77.70,91.83,31.33,78.94%,88.79%,27.08%,117,135990,99,3665.70,33571.567500000005,2884.00,5288.74,8954.43,1018.84,8072.44,24480.29,9091.27
RDM,Dec-2020,51.77%,64.44,23.421045751633983,69.17,76.80,31.93,77.83%,89.51%,30.57%,151,175007,136,4820.89,34165.825277777745,2976.00,4909.29,9730.17,1096.05,9348.86,23720.92,10444.91
RDM,Jan-2021,48.99%,73.31,18.317842056932967,70.42,83.80,33.00,76.01%,83.16%,30.31%,144,150360,121,4752.55,33454.297777777785,2976.00,5803.46,10556.02,1707.30,8432.49,23314.51,10139.79
RDM,Feb-2021,43.68%,68.22,19.46664724164724,52.90,58.45,28.10,73.03%,83.13%,28.64%,158,124155,143,4440.14,29181.49055555556,2688.00,6338.37,10778.51,1410.44,6947.77,20823.28,8358.21
RDM,Mar-2021,40.59%,83.74,19.289114842454392,57.21,65.32,30.48,70.76%,88.60%,28.23%,153,124596,134,4664.17,31005.613055555557,2991.19,8148.03,12812.20,997.74,7755.37,22252.50,8753.11
RDM,Apr-2021,46.82%,88.22,21.090906565656567,77.67,87.55,31.92,74.61%,85.82%,29.96%,124,133063,110,3957.91,32141.084166666667,2880.00,6981.00,10938.92,1365.75,8265.28,22510.06,9631.03
RDM,May-2021,51.84%,67.83,17.102345173041893,73.02,82.59,29.15,79.03%,87.07%,28.56%,138,134547,122,4022.31,35279.54749999998,2976.00,5338.14,9360.45,1303.18,8773.32,25203.05,10076.50
RDM,Jun-2021,54.71%,54.48,16.499919227738374,65.82,70.95,27.51,80.83%,86.39%,28.65%,152,153487,141,4181.20,34919.08055555555,2880.00,4099.72,8280.92,1361.62,8642.68,24914.78,10004.30
