Site Code,Month-Year,Total Stream Downtime (Hours),Zinc Tails Grade %,Zinc Conc. Produced,Zinc Contained in Zinc Concentrate %,Zinc Conc. Pb Grade %,Zinc Conc. Ag Grade gr/t,Recovery % - Pb,Recovery % - Zn,Plant Yield - Copper (Adjusted),Plant Yield Zinc + Lead (Unadjusted),Total Metal - Zinc + Lead (Adjusted),Total Metal - Zinc + Lead (Unadjusted),Total Ore (Adjusted),Total Ore (Unadjusted),Total Number of Downs,Available Time (Hours),Calendar Time (Hours),Excluded Calendar Time (Hours),Maintenance Non Scheduled (Hours),Maintenance Scheduled (Hours),Maintenance Time (Hours),Major Maintenance Shutdown (Hours),Operating Delays (Hours),Production Time (Hours),Standby Time (Hours),Utilized Time (Hours),Total Metal - Zinc (Adjusted),Total Metal - Zinc (Unadjusted),Total Metal - Lead (Adjusted),Total Metal - Lead (Unadjusted),Effective Asset Utilization,Maintenance Availability,Mean Down Time (Hours),Mean Time Between Downs (Hours),Physical Availability,Daily Production Rate When Running,Tonnes Processed,Plant Feed Rate,Daily Feed Rate When Running,% Online Time
RDM,Jan-2018,861.00,2.82%,88172.00,53.69%,2.68%,1.23,48.26%,83.26%,,14.14%,55458.12,55458.12,370540.00,392298,24,2224.82,2232,0,7.160000000000002,0.02,7.1800000000000015,0,14.099999999999996,2210.7200000000003,0,2224.82,47343.53,47343.53,8114.59,8114.591,99.05%,99.68%,0.29916666666666675,92.70083333333334,99.68%,138.71227473402328,370540,167.6105522182818,502.83165665484546,99.05%
RDM,Feb-2018,1159.80,3.41%,73952.00,53.23%,2.53%,1.26,47.41%,82.69%,,14.28%,45134.29,45134.29,281233.00,316010,11,1961.54,2016,0,2.3299999999999996,0.71,54.46,51.42,305.6300000000001,1655.9099999999999,0,1961.54,39367.27,39367.27,5767.02,5767.023,82.14%,97.30%,4.950909090909091,178.32181818181817,97.30%,152.64597713643857,281233,169.83592103435575,509.50776310306725,84.29%
RDM,Mar-2018,2330.62,2.90%,63691.00,54.60%,2.84%,1.24,52.36%,83.70%,,13.92%,40607.77,40607.77,261366.00,291820,10,2123.62,2232,0,31.380000000000003,0,108.38,77,520.5399999999995,1603.0800000000004,0,2123.62,34776.68,34776.68,5831.09,5831.087,71.82%,95.14%,10.838,212.362,95.14%,138.1297252788382,261366,163.0398981959727,489.11969458791816,74.39%
RDM,Apr-2018,1013.20,2.94%,87611.00,54.41%,3.28%,1.30,48.85%,84.21%,,15.28%,55404.21,55404.21,350363.00,362536,17,2061.37,2160,0,38.46,0.35,98.63000000000001,59.82,94.54999999999993,1966.82,0,2061.37,47671.16,47671.16,7733.05,7733.046,91.06%,95.43%,5.801764705882354,121.2570588235294,95.43%,154.6537049653756,350363,178.13678933506878,534.4103680052064,93.65%
RDM,May-2018,903.96,3.17%,93711.00,54.02%,2.85%,1.27,47.14%,82.77%,,14.72%,59289.74,59289.74,375458.00,402725,14,2208.85,2232,0,3.32,3.5,23.150000000000002,16.33,59.69999999999998,2149.15,0,2208.85,50622.73,50622.73,8667.01,8667.008,96.29%,98.96%,1.6535714285714287,157.775,98.96%,152.80366656585161,375458,174.7006956238513,524.1020868715539,97.00%
RDM,Jun-2018,756.68,2.63%,100408.00,55.06%,3.10%,1.34,50.37%,86.16%,,15.83%,64538.64,64538.64,386351.00,407614,8,2146.36,2160,0,13.639999999999999,0,13.639999999999999,0,21.240000000000006,2125.1200000000003,0,2146.36,55289.33,55289.33,9249.32,9249.318,98.39%,99.37%,1.7049999999999998,268.295,99.37%,164.34836620990814,386351,181.80196882999545,545.4059064899864,98.39%
RDM,Jul-2018,820.20,2.75%,97722.00,54.99%,3.36%,1.06,54.18%,85.24%,,15.44%,62480.82,62480.82,376646.00,404569,14,2157.07,2232,0,46.91,0,74.92999999999999,28.02,18.219999999999995,2138.8500000000004,0,2157.07,53741.80,53741.80,8739.02,8739.02,95.83%,96.64%,5.352142857142857,154.07642857142858,96.64%,159.1640367487201,376646,176.09743553778898,528.2923066133669,97.04%
RDM,Aug-2018,1274.62,2.60%,85011.00,54.27%,3.11%,1.14,53.81%,84.32%,,13.95%,55086.49,55086.49,353369.00,394999,20,2092.21,2232,0,65.19,0,139.79,74.6,74.92,2017.29,0,2092.21,46137.40,46137.40,8949.09,8949.091,90.38%,93.74%,6.9895,104.6105,93.74%,150.33981232247223,353369,175.17015401850998,525.51046205553,93.51%
RDM,Sep-2018,1725.90,2.41%,87742.00,54.84%,3.31%,1.34,53.34%,85.24%,,13.46%,56827.94,56827.94,377956.00,422167,23,1916.35,2160,0,175.89,0,243.65,67.75999999999999,28.199999999999974,1888.1499999999999,0,1916.35,48114.83,48114.83,8713.11,8713.111,87.41%,88.72%,10.593478260869565,83.3195652173913,88.72%,164.06058840664144,377956,200.1726557741705,600.5179673225115,90.25%
RDM,Oct-2018,425.66,2.97%,132535.00,54.63%,2.77%,1.37,49.03%,83.44%,,17.69%,83797.21,83797.21,561729.00,473601,2,2230.39,2232,0,1.6099999999999999,0,1.6099999999999999,0,1.1,2229.29,0,2230.39,72408.40,72408.40,11388.80,11388.804,99.88%,99.93%,0.8049999999999999,1115.195,99.93%,204.30450950751137,561729,251.97663830188088,755.9299149056426,99.88%
RDM,Nov-2018,1994.27,2.60%,61716.00,55.02%,3.58%,1.61,47.68%,82.11%,,12.26%,40285.54,40285.54,297949.00,328696,38,1692.25,2160,0,36.89,0,467.7500000000001,430.86,57.019999999999996,1635.23,0,1692.25,33955.89,33955.89,6329.65,6329.649,75.71%,78.34%,12.309210526315793,44.5328947368421,78.34%,134.9241391119292,297949,182.20617283195637,546.6185184958691,94.57%
RDM,Dec-2018,903.10,2.81%,97773.00,54.99%,2.65%,1.45,50.51%,82.99%,,14.24%,62693.07,62693.07,435575.00,440352,26,2165.03,2232,0,53.23999999999999,1.21,66.96999999999998,12.52,26.049999999999994,2138.98,0,2165.03,53764.09,53764.09,8928.98,8928.976,95.83%,97.00%,2.57576923076923,83.27038461538463,97.00%,158.89910144087366,435575,203.63678014754697,610.910340442641,96.37%
RDM,Jan-2019,784.97,3.04%,90802.00,54.51%,2.47%,1.57,50.01%,82.15%,,14.14%,56851.72,56851.72,402690.00,402128,26,2157.66,2232,0,33.74999999999999,0,74.33999999999999,40.589999999999996,26.279999999999998,2131.3799999999997,0,2157.66,49500.53,49500.53,7351.19,7351.185,95.49%,96.67%,2.859230769230769,82.98692307692308,96.67%,146.13912113278724,402690,188.9339301297751,566.8017903893253,97.26%
RDM,Feb-2019,2147.06,2.80%,60342.00,54.14%,2.95%,1.68,49.38%,82.98%,,13.68%,38368.59,38368.59,267807.00,280419,26,1927.54,2016,0,52.11000000000001,0,88.46,36.35,510.9199999999999,1416.6200000000001,0,1927.54,32667.10,32667.10,5701.50,5701.498,70.27%,95.61%,3.402307692307692,74.13615384615385,95.61%,148.63830808544282,267807,189.0464627070068,567.1393881210204,71.56%
RDM,Mar-2019,3166.16,2.66%,51685.00,54.27%,2.72%,1.67,56.71%,83.74%,,13.31%,33848.41,33848.41,216882.00,254329,7,2217.72,2232,0,14.280000000000001,0,14.280000000000001,0,960.2899999999997,1257.43,0,2217.72,28050.51,28050.51,5797.89,5797.894,56.34%,99.36%,2.04,316.8171428571428,99.36%,147.70126368863475,216882,172.48037664124445,517.4411299237333,56.34%
