Site Code,Month-Year,Asset Down Count,Asset Event Count,Asset Failure Count,FMS Total Active Maintenance Hours (Actual),FMS Total Available Time (Actual),FMS Total Excluded Calendar Hours (Actual),FMS Total Maintenance Delay Hours (Actual),FMS Total Maintenance Hours (Actual),FMS Total Operational Delay Hours (Actual),FMS Total Production Time (Hours) (Actual),FMS Total Standby Hours (Actual),FMS Total Utilized Time (Actual),FMS Maintenance Availability (Actual),FMS Mean Down Time (Hours),FMS Mean Failure Time (Hours),FMS Mean Time Between Down (Hours),FMS Mean Time Between Failure (Hours),FMS Mean Time To Repair (Hours),FMS Mobile Availability (Actual),FMS Operating Efficiency (Actual),FMS Use of Availability (Actual)
HVC,Mar-2021,267,69895,253,2073.74,10019.095672700023,335.09,1257.50,3331.24,1242.48,7060.41,1716.21,8302.89,71.37%,12.48,3.249318134782609,31.10,32.82,7.77,75.05%,85.04%,82.87%
HVC,Apr-2021,1618,458143,1534,13916.75,66910.5294070997,2049.55,8048.24,21964.98,8571.56,45353.98,12984.98,53925.55,71.06%,13.58,3.2071828835071723,33.33,35.15,8.60,75.29%,84.10%,80.59%
HVC,May-2021,1639,499290,1559,13851.50,70165.11587289971,2097.70,8579.23,22430.73,9088.47,45135.84,15940.80,54224.32,70.74%,13.69,2.287865928351508,33.08,34.78,8.45,75.78%,83.24%,77.28%
HVC,Jun-2021,1866,449002,1769,13517.60,68228.54072719961,2260.33,8381.03,21898.63,9648.57,42525.22,16054.75,52173.79,70.44%,11.74,2.0743665147540993,27.96,29.49,7.24,75.70%,81.51%,76.47%
HVC,Jul-2021,1719,413947,1646,11749.71,65342.122401999986,2662.62,15570.79,27320.50,8442.68,40931.87,15967.57,49374.55,64.38%,15.89,2.947484090947754,28.72,30.00,6.84,70.52%,82.90%,75.56%
HVC,Aug-2021,1289,355435,1227,9508.11,58150.76388119976,14424.70,13100.96,22609.08,6564.35,35576.13,16010.29,42140.48,65.08%,17.54,2.863920534718829,32.69,34.34,7.38,72.00%,84.42%,72.47%
HVC,Sep-2021,1718,468018,1626,11313.48,67654.40592990002,1479.33,11783.45,23096.92,8487.25,43581.07,15586.09,52068.32,69.27%,13.44,2.5685338392373893,30.31,32.02,6.59,74.55%,83.70%,76.96%
HVC,Oct-2021,1587,431312,1509,12332.78,67038.44868360009,1912.17,13701.90,26034.68,8302.95,42221.11,16514.39,50524.06,65.99%,16.40,3.1391082596421414,31.84,33.48,7.77,72.03%,83.57%,75.37%
HVC,Nov-2021,1342,350236,1260,11166.47,65476.06374709995,2166.81,13098.83,24265.30,7448.39,36596.95,21430.72,44045.34,64.48%,18.08,2.92971312785714,32.82,34.96,8.32,72.96%,83.09%,67.27%
HVC,Dec-2021,1579,392809,1491,12853.55,66728.5916397998,1612.55,13409.84,26263.39,8479.05,40837.83,17411.71,49316.88,65.25%,16.63,4.157231479610998,31.23,33.08,8.14,71.76%,82.81%,73.91%
HVC,Jan-2022,1568,415132,1460,13382.75,63181.87667739997,1504.15,17349.88,30732.62,8416.26,41632.56,13133.07,50048.81,61.96%,19.60,4.12518525691781,31.92,34.28,8.53,67.28%,83.18%,79.21%
HVC,Feb-2022,1478,402484,1390,10868.18,60943.87808740003,1386.15,13163.26,24031.44,7537.35,40442.33,12964.20,47979.68,66.63%,16.26,3.9396680095683427,32.46,34.52,7.35,71.72%,84.29%,78.73%
HVC,Mar-2022,1481,394177,1399,12259.92,62331.104589600196,1553.19,19448.77,31708.69,7817.75,40068.61,14444.74,47886.36,60.16%,21.41,3.1966495376697606,32.33,34.23,8.28,66.28%,83.67%,76.83%
HVC,Apr-2022,1561,414257,1468,10965.60,62812.82084429973,930.22,19271.53,30237.13,7785.90,39028.85,15998.07,46814.75,60.76%,19.37,3.161794149931884,29.99,31.89,7.02,67.50%,83.37%,74.53%
HVC,May-2022,1695,397952,1590,11894.49,62696.22587319987,790.23,21002.02,32896.51,7679.80,40501.36,14515.07,48181.16,59.43%,19.41,3.289769862389939,28.43,30.30,7.02,65.59%,84.06%,76.85%
HVC,Jun-2022,1475,399944,1407,11388.38,63081.215181099826,732.85,17271.05,28659.43,6569.89,42157.02,14354.31,48726.91,62.97%,19.43,3.199159308742002,33.04,34.63,7.72,68.76%,86.52%,77.24%
HVC,Jul-2022,1569,392724,1492,12094.41,62481.99384089992,1344.00,19810.75,31905.16,5130.08,42995.58,14356.34,48125.66,60.13%,20.33,3.664740781032166,30.67,32.26,7.71,66.20%,89.34%,77.02%
HVC,Aug-2022,1499,406510,1408,11165.70,60837.859856399744,2817.66,21844.09,33009.79,5171.07,44031.95,11634.84,49203.02,59.85%,22.02,3.571750647940338,32.82,34.95,7.45,64.83%,89.49%,80.88%
HVC,Sep-2022,1633,413525,1535,10572.66,59674.868200600045,1534.44,21550.41,32123.08,4342.41,42383.83,12948.63,46726.24,59.26%,19.67,2.994153762671005,28.61,30.44,6.47,65.01%,90.71%,78.30%
HVC,Oct-2022,1745,436302,1632,10334.38,62637.03746019978,1191.67,22479.94,32814.32,7978.74,40926.50,13731.79,48905.25,59.85%,18.80,2.2896716148284284,28.03,29.97,5.92,65.62%,83.69%,78.08%
HVC,Nov-2022,1700,339151,1607,12259.31,58549.96515879961,1444.98,22450.16,34709.47,8569.12,38283.55,11697.30,46852.67,57.44%,20.42,2.7868681549471073,27.56,29.16,7.21,62.78%,81.71%,80.02%
HVC,Dec-2022,1787,384589,1681,13616.57,61521.587003300054,1488.00,20848.09,34464.66,8278.08,40480.74,12762.77,48758.82,58.59%,19.29,2.3699744951219484,27.29,29.01,7.62,64.09%,83.02%,79.25%
