Site Code,Month-Year,Copper Tails Grade %,Copper Conc Produced,Copper Contained in Cu Conc %,Copper Conc Mo Grade %,Plant Yield - Copper (Adjusted),Total Metal - Copper (Adjusted),Total Ore (Adjusted),Recovery - Cu %,Tonnes Processed,Total Number of Downs,Available Time (Hours),Calendar Time (Hours),Excluded Calendar Time (Hours),Maintenance Non Scheduled (Hours),Maintenance Scheduled (Hours),Maintenance Time (Hours),Major Maintenance Shutdown (Hours),Operating Delays (Hours),Production Time (Hours),Standby Time (Hours),Utilized Time (Hours),% Online Time,Daily Feed Rate When Running,Daily Production Rate When Running,Effective Asset Utilization,Maintenance Availability,Mean Down Time (Hours),Mean Time Between Downs (Hours),Physical Availability,Plant Feed Rate,Plant Production Rate
HVC,Jan-2018,,,,,,,,,,58,1153840.03,1156176,0,1968.4500000000003,367.52,2335.9700000000003,,2141.24,1011106.6900000002,140592.09999999992,1013247.9300000002,52.15%,,,52.15%,83.17%,10.791724137931036,53.34620689655172,83.17%,,
HVC,Feb-2018,,,,,,,,,,54,1042104.83,1044288,0,1908.300000000001,274.87,2183.170000000001,0,2030.130000000001,929860.1099999999,110214.59000000007,931890.2399999999,47.76%,,,47.76%,85.36%,8.995370370370383,52.432222222222215,85.54%,,
HVC,Mar-2018,,,,,,,,,,76,1152244.11,1156176,0,2997.8600000000033,675.74,3931.890000000003,258.28999999999996,3054.97,1071801.77,77387.37000000001,1074856.74,18.81%,,,17.50%,62.25%,18.479473684210546,30.46789473684208,62.25%,,
HVC,Apr-2018,,,,,,,,,,51,1116430.19,1118880,0,2079.74,370.07,2449.81,,2435.0999999999995,1034013.9099999999,79981.18,1036449.0099999999,45.25%,,,45.25%,81.04%,13.363333333333328,57.105490196078435,81.07%,,
HVC,May-2018,,,,,,,,,,45,1154312.37,1156176,0,1485.5900000000001,378.03999999999996,1863.63,,1072.3199999999997,1058408.8399999999,94831.21000000012,1059481.16,67.71%,,,67.71%,85.47%,12.014000000000003,70.65266666666666,85.47%,,
HVC,Jun-2018,,,,,,,,,,31,1117577.73,1118880,0,1181.3799999999999,120.89,1302.27,,924.7999999999996,1047025.19,69627.73999999998,1047949.99,82.74%,,,82.74%,92.03%,9.250322580645161,106.87870967741935,92.03%,,
HVC,Jul-2018,,,,,,,,,,46,1154670.44,1156176,0,1281.4,224.16000000000003,1505.5600000000002,,1285.7,1120346,33038.74,1121631.7,73.94%,,,73.94%,85.74%,11.520434782608698,69.28434782608696,85.75%,,
HVC,Aug-2018,,,,,,,,,,43,1154015.87,1156176,0,1778.9,381.23,2160.13,,1250.5200000000002,1124920.29,27845.059999999998,1126170.81,59.76%,,,59.76%,83.55%,14.187906976744184,72.07139534883723,83.60%,,
HVC,Sep-2018,,,,,,,,,,56,1116974.78,1118880,0,1797.1699999999998,108.05,1905.2199999999998,,735.1000000000004,1073838,42401.67999999997,1074573.1,66.60%,,,66.60%,81.13%,11.974642857142856,51.49357142857143,81.37%,,
HVC,Oct-2018,,,,,,,,,,27,1154558.72,1156176,0,1320.3,296.98,1617.28,,1023.0900000000003,1066489.0000000002,87046.62999999967,1067512.0900000003,71.46%,,,71.46%,90.17%,13.475555555555555,123.58037037037037,90.22%,,
