Site Code,Month-Year,Asset Down Count,Asset Event Count,Asset Failure Count,FMS Total Active Maintenance Hours (Actual),FMS Total Available Time (Actual),FMS Total Excluded Calendar Hours (Actual),FMS Total Maintenance Delay Hours (Actual),FMS Total Maintenance Hours (Actual),FMS Total Operational Delay Hours (Actual),FMS Total Production Time (Hours) (Actual),FMS Total Standby Hours (Actual),FMS Total Utilized Time (Actual),FMS Maintenance Availability (Actual),FMS Mean Down Time (Hours),FMS Mean Failure Time (Hours),FMS Mean Time Between Down (Hours),FMS Mean Time Between Failure (Hours),FMS Mean Time To Repair (Hours),FMS Mobile Availability (Actual),FMS Operating Efficiency (Actual),FMS Use of Availability (Actual)
CDA,Aug-2020,367,97554,336,4054.46,25727.530555555557,0.02,299.34,4353.80,1046.02,11309.92,13371.59,12355.94,73.94%,11.86,0.77984375,33.67,36.77,11.05,85.53%,91.53%,48.03%
CDA,Sep-2020,455,140153,413,5006.84,35746.30222222219,1.77,224.78,5231.62,1289.74,16463.49,17993.07,17753.23,77.24%,11.50,0.7571576540220608,39.02,42.99,11.00,87.23%,92.74%,49.66%
CDA,Oct-2020,476,139400,427,4720.90,34976.127777777845,0.00,281.93,5002.83,1447.49,16541.80,16986.83,17989.30,78.24%,10.51,1.2649069737184493,37.79,42.13,9.92,87.49%,91.95%,51.43%
CDA,Nov-2020,437,133639,400,4427.11,30873.61250000004,0.00,337.06,4764.18,1220.51,15970.95,13682.16,17191.45,78.30%,10.90,1.861561111111111,39.34,42.98,10.13,86.63%,92.90%,55.68%
CDA,Dec-2020,565,144938,516,4009.81,33406.02611111104,0.00,371.25,4381.06,1404.99,17304.53,14696.51,18709.51,81.03%,7.75,1.0671021748492684,33.11,36.26,7.10,88.41%,92.49%,56.01%
CDA,Jan-2021,518,144460,476,4288.08,33545.32777777774,0.00,373.03,4661.10,1516.19,17351.45,14677.69,18867.63,80.19%,9.00,1.384265873015873,36.42,39.64,8.28,87.80%,91.96%,56.25%
CDA,Feb-2021,583,122271,550,3738.59,30873.261944444504,0.00,341.47,4080.07,1777.55,16296.35,12799.36,18073.90,81.58%,7.00,2.2421848484848486,31.00,32.86,6.41,88.33%,90.17%,58.54%
CDA,Mar-2021,561,135992,520,4583.84,34971.990277777775,0.00,353.31,4937.15,1944.98,17544.42,15482.59,19489.40,79.79%,8.80,3.21702297008547,34.74,37.48,8.17,87.63%,90.02%,55.73%
CDA,Apr-2021,477,132571,421,5475.69,33874.973333333335,0.00,272.30,5747.99,1829.84,16921.07,15124.07,18750.91,76.54%,12.05,2.9453523357086304,39.31,44.54,11.48,85.49%,90.24%,55.35%
CDA,May-2021,487,141993,441,5194.85,34311.57000000006,656.64,683.40,5878.25,1800.78,18130.78,14380.01,19931.56,77.22%,12.07,2.880481859410431,40.93,45.20,10.67,85.37%,90.97%,58.09%
CDA,Jun-2021,440,146051,409,5271.15,34426.541944444434,0.21,551.01,5822.16,1877.78,17285.52,15263.23,19163.31,76.70%,13.23,2.7652180114099423,43.55,46.85,11.98,85.53%,90.20%,55.66%
CDA,Jul-2021,517,156536,469,5141.39,36181.00555555562,0.00,281.99,5423.38,2031.45,17763.20,16386.35,19794.66,78.49%,10.49,3.8170623075100685,38.29,42.21,9.94,86.96%,89.74%,54.71%
CDA,Aug-2021,511,150445,470,5415.63,36592.083055555464,0.00,318.05,5733.68,2207.88,18013.16,16371.05,20221.04,77.91%,11.22,3.784671985815603,39.57,43.02,10.60,86.45%,89.08%,55.26%
CDA,Sep-2021,537,153713,504,4767.97,35812.15638888895,0.00,392.29,5160.25,2059.80,17330.91,16421.45,19390.71,78.98%,9.61,0.7540459656084656,36.11,38.47,8.88,87.41%,89.38%,54.15%
