Site Code,Planning Week Date Range (Mon - Sun),Mine/Mill,# PMs Scheduled,# PMs Completed as Scheduled,# Total Maintenance WO Completed,# Scheduled Maintenance WO,# Non-Scheduled Maintenance WO Completed,# Scheduled Maintenance WO Completed,PM Schedule Compliance (By Work Order Count)
HVC,2018-01-01 - 2018-01-07,Mill,,,,17,,,
HVC,2018-01-08 - 2018-01-14,Mill,,,,91,,,
HVC,2018-01-15 - 2018-01-21,Mill,,,,84,,,
HVC,2018-01-22 - 2018-01-28,Mill,,,,112,,,
HVC,2018-01-29 - 2018-02-04,Mill,,,,110,,,
HVC,2018-02-05 - 2018-02-11,Mill,,,,143,,,
HVC,2018-02-12 - 2018-02-18,Mill,,,,114,,,
HVC,2018-02-19 - 2018-02-25,Mill,1,,,176,,,
HVC,2018-02-26 - 2018-03-04,Mill,,,,150,,,
HVC,2018-03-05 - 2018-03-11,Mill,,,,169,,,
HVC,2018-03-12 - 2018-03-18,Mill,,,,134,,,
HVC,2018-03-19 - 2018-03-25,Mill,,,,110,,,
HVC,2018-03-26 - 2018-04-01,Mill,,,,108,,,
HVC,2018-04-02 - 2018-04-08,Mill,,,,197,,,
HVC,2018-04-09 - 2018-04-15,Mill,,,,172,,,
HVC,2018-04-16 - 2018-04-22,Mill,,,,145,,,
HVC,2018-04-23 - 2018-04-29,Mill,1,,,162,,,
HVC,2018-04-30 - 2018-05-06,Mill,,,,190,,,
HVC,2018-05-07 - 2018-05-13,Mill,,,,196,,,
HVC,2018-05-14 - 2018-05-20,Mill,,,,204,,,
HVC,2018-05-21 - 2018-05-27,Mill,,,,171,,,
HVC,2018-05-28 - 2018-06-03,Mill,,,,228,,,
HVC,2018-06-04 - 2018-06-10,Mill,,,,202,,,
HVC,2018-06-11 - 2018-06-17,Mill,,,,173,,,
HVC,2018-06-18 - 2018-06-24,Mill,,,,244,,,
HVC,2018-06-25 - 2018-07-01,Mill,,,,170,,,
HVC,2018-07-02 - 2018-07-08,Mill,,,,212,,,
HVC,2018-07-09 - 2018-07-15,Mill,,,,232,,,
HVC,2018-07-16 - 2018-07-22,Mill,,,,206,,,
HVC,2018-07-23 - 2018-07-29,Mill,,,,228,,,
HVC,2018-07-30 - 2018-08-05,Mill,,,,179,,,
HVC,2018-08-06 - 2018-08-12,Mill,,,,191,,,
HVC,2018-08-13 - 2018-08-19,Mill,,,,219,,,
HVC,2018-08-20 - 2018-08-26,Mill,,,,220,,,
HVC,2018-08-27 - 2018-09-02,Mill,,,,190,,,
HVC,2018-09-03 - 2018-09-09,Mill,,,,176,,,
HVC,2018-09-10 - 2018-09-16,Mill,,,,253,,,
HVC,2018-09-17 - 2018-09-23,Mill,,,,250,,,
HVC,2018-09-24 - 2018-09-30,Mill,,,,305,,,
HVC,2018-10-01 - 2018-10-07,Mill,,,,229,,,
HVC,2018-10-08 - 2018-10-14,Mill,,,,219,,,
HVC,2018-10-15 - 2018-10-21,Mill,,,,220,,,
HVC,2018-10-22 - 2018-10-28,Mill,,,,225,,,
HVC,2018-10-29 - 2018-11-04,Mill,,,,251,,,
HVC,2018-11-05 - 2018-11-11,Mill,,,,237,,,
HVC,2018-11-12 - 2018-11-18,Mill,,,,205,,,
HVC,2018-11-19 - 2018-11-25,Mill,,,,208,,,
HVC,2018-11-26 - 2018-12-02,Mill,,,,196,,,
HVC,2018-12-03 - 2018-12-09,Mill,,,,217,,,
HVC,2018-12-10 - 2018-12-16,Mill,,,,212,,,
HVC,2018-12-17 - 2018-12-23,Mill,,,,260,,,
HVC,2018-12-24 - 2018-12-30,Mill,,,,82,,,
HVC,2018-12-31 - 2019-01-06,Mill,,,,181,,,
